"TIME","TIME_LABEL","GEO","GEO_LABEL","SEX","AGE","UNIT","Value","Flag and Footnotes"
2011,2011,"NL","Netherlands","Total","From 15 to 64 years","Percentage",74.2,"b"
2012,2012,"NL","Netherlands","Total","From 15 to 64 years","Percentage",74.4,""
2013,2013,"NL","Netherlands","Total","From 15 to 64 years","Percentage",73.6,""
2014,2014,"NL","Netherlands","Total","From 15 to 64 years","Percentage",73.1,""
1999,1999,"NO","Norway","Total","From 15 to 64 years","Percentage",77.9,""
2000,2000,"NO","Norway","Total","From 15 to 64 years","Percentage",77.9,""
2001,2001,"NO","Norway","Total","From 15 to 64 years","Percentage",77.5,""
2002,2002,"NO","Norway","Total","From 15 to 64 years","Percentage",77.3,""
2003,2003,"NO","Norway","Total","From 15 to 64 years","Percentage",75.6,""
2004,2004,"NO","Norway","Total","From 15 to 64 years","Percentage",75.3,""
2005,2005,"NO","Norway","Total","From 15 to 64 years","Percentage",74.8,"b"
2006,2006,"NO","Norway","Total","From 15 to 64 years","Percentage",75.4,"b"
2007,2007,"NO","Norway","Total","From 15 to 64 years","Percentage",76.8,""
2008,2008,"NO","Norway","Total","From 15 to 64 years","Percentage",78,""
2009,2009,"NO","Norway","Total","From 15 to 64 years","Percentage",76.4,""
2010,2010,"NO","Norway","Total","From 15 to 64 years","Percentage",75.3,""
2011,2011,"NO","Norway","Total","From 15 to 64 years","Percentage",75.3,""
2012,2012,"NO","Norway","Total","From 15 to 64 years","Percentage",75.7,""
2013,2013,"NO","Norway","Total","From 15 to 64 years","Percentage",75.4,""
2014,2014,"NO","Norway","Total","From 15 to 64 years","Percentage",75.2,""
1999,1999,"PL","Poland","Total","From 15 to 64 years","Percentage",57.5,""
2000,2000,"PL","Poland","Total","From 15 to 64 years","Percentage",55.1,"b"
2001,2001,"PL","Poland","Total","From 15 to 64 years","Percentage",53.7,"b"
2002,2002,"PL","Poland","Total","From 15 to 64 years","Percentage",51.7,""
2003,2003,"PL","Poland","Total","From 15 to 64 years","Percentage",51.4,"b"
2004,2004,"PL","Poland","Total","From 15 to 64 years","Percentage",51.4,"b"
2005,2005,"PL","Poland","Total","From 15 to 64 years","Percentage",52.8,"b"
2006,2006,"PL","Poland","Total","From 15 to 64 years","Percentage",54.5,""
2007,2007,"PL","Poland","Total","From 15 to 64 years","Percentage",57,""
2008,2008,"PL","Poland","Total","From 15 to 64 years","Percentage",59.2,""
2009,2009,"PL","Poland","Total","From 15 to 64 years","Percentage",59.3,""
2010,2010,"PL","Poland","Total","From 15 to 64 years","Percentage",58.9,"b"
2011,2011,"PL","Poland","Total","From 15 to 64 years","Percentage",59.3,""
2012,2012,"PL","Poland","Total","From 15 to 64 years","Percentage",59.7,""
2013,2013,"PL","Poland","Total","From 15 to 64 years","Percentage",60,""
2014,2014,"PL","Poland","Total","From 15 to 64 years","Percentage",61.7,""
1999,1999,"PT","Portugal","Total","From 15 to 64 years","Percentage",67.4,""
2000,2000,"PT","Portugal","Total","From 15 to 64 years","Percentage",68.2,""
2001,2001,"PT","Portugal","Total","From 15 to 64 years","Percentage",68.9,""
2002,2002,"PT","Portugal","Total","From 15 to 64 years","Percentage",69.1,"b"
2003,2003,"PT","Portugal","Total","From 15 to 64 years","Percentage",68.1,""
2004,2004,"PT","Portugal","Total","From 15 to 64 years","Percentage",67.8,""
2005,2005,"PT","Portugal","Total","From 15 to 64 years","Percentage",67.3,"b"
2006,2006,"PT","Portugal","Total","From 15 to 64 years","Percentage",67.6,""
2007,2007,"PT","Portugal","Total","From 15 to 64 years","Percentage",67.6,""
2008,2008,"PT","Portugal","Total","From 15 to 64 years","Percentage",68,""
2009,2009,"PT","Portugal","Total","From 15 to 64 years","Percentage",66.1,""
2010,2010,"PT","Portugal","Total","From 15 to 64 years","Percentage",65.3,""
2011,2011,"PT","Portugal","Total","From 15 to 64 years","Percentage",63.8,"b"
2012,2012,"PT","Portugal","Total","From 15 to 64 years","Percentage",61.4,""
2013,2013,"PT","Portugal","Total","From 15 to 64 years","Percentage",60.6,""
2014,2014,"PT","Portugal","Total","From 15 to 64 years","Percentage",62.6,""
1999,1999,"RO","Romania","Total","From 15 to 64 years","Percentage",65,""
2000,2000,"RO","Romania","Total","From 15 to 64 years","Percentage",64.2,""
2001,2001,"RO","Romania","Total","From 15 to 64 years","Percentage",63.3,""
2002,2002,"RO","Romania","Total","From 15 to 64 years","Percentage",58.6,"b"
2003,2003,"RO","Romania","Total","From 15 to 64 years","Percentage",58.7,"b"
2004,2004,"RO","Romania","Total","From 15 to 64 years","Percentage",58.7,""
2005,2005,"RO","Romania","Total","From 15 to 64 years","Percentage",57.6,"b"
2006,2006,"RO","Romania","Total","From 15 to 64 years","Percentage",58.8,""
2007,2007,"RO","Romania","Total","From 15 to 64 years","Percentage",58.8,""
2008,2008,"RO","Romania","Total","From 15 to 64 years","Percentage",59,""
2009,2009,"RO","Romania","Total","From 15 to 64 years","Percentage",58.6,""
2010,2010,"RO","Romania","Total","From 15 to 64 years","Percentage",60.2,"b"
2011,2011,"RO","Romania","Total","From 15 to 64 years","Percentage",59.3,""
2012,2012,"RO","Romania","Total","From 15 to 64 years","Percentage",60.2,""
2013,2013,"RO","Romania","Total","From 15 to 64 years","Percentage",60.1,""
2014,2014,"RO","Romania","Total","From 15 to 64 years","Percentage",61,""
1999,1999,"SK","Slovakia","Total","From 15 to 64 years","Percentage",58,"b"
2000,2000,"SK","Slovakia","Total","From 15 to 64 years","Percentage",56.3,""
2001,2001,"SK","Slovakia","Total","From 15 to 64 years","Percentage",56.7,""
2002,2002,"SK","Slovakia","Total","From 15 to 64 years","Percentage",56.5,""
2003,2003,"SK","Slovakia","Total","From 15 to 64 years","Percentage",57.9,"b"
2004,2004,"SK","Slovakia","Total","From 15 to 64 years","Percentage",56.7,""
2005,2005,"SK","Slovakia","Total","From 15 to 64 years","Percentage",57.7,"b"
2006,2006,"SK","Slovakia","Total","From 15 to 64 years","Percentage",59.4,""
2007,2007,"SK","Slovakia","Total","From 15 to 64 years","Percentage",60.7,""
2008,2008,"SK","Slovakia","Total","From 15 to 64 years","Percentage",62.3,""
2009,2009,"SK","Slovakia","Total","From 15 to 64 years","Percentage",60.2,""
2010,2010,"SK","Slovakia","Total","From 15 to 64 years","Percentage",58.8,""
2011,2011,"SK","Slovakia","Total","From 15 to 64 years","Percentage",59.3,"b"
2012,2012,"SK","Slovakia","Total","From 15 to 64 years","Percentage",59.7,""
2013,2013,"SK","Slovakia","Total","From 15 to 64 years","Percentage",59.9,""
2014,2014,"SK","Slovakia","Total","From 15 to 64 years","Percentage",61,""
1999,1999,"SI","Slovenia","Total","From 15 to 64 years","Percentage",62.5,""
2000,2000,"SI","Slovenia","Total","From 15 to 64 years","Percentage",62.7,""
2001,2001,"SI","Slovenia","Total","From 15 to 64 years","Percentage",63.6,""
2002,2002,"SI","Slovenia","Total","From 15 to 64 years","Percentage",64.3,""
2003,2003,"SI","Slovenia","Total","From 15 to 64 years","Percentage",62.5,""
2004,2004,"SI","Slovenia","Total","From 15 to 64 years","Percentage",65.6,""
2005,2005,"SI","Slovenia","Total","From 15 to 64 years","Percentage",66,"b"
2006,2006,"SI","Slovenia","Total","From 15 to 64 years","Percentage",66.6,""
2007,2007,"SI","Slovenia","Total","From 15 to 64 years","Percentage",67.8,""
2008,2008,"SI","Slovenia","Total","From 15 to 64 years","Percentage",68.6,""
2009,2009,"SI","Slovenia","Total","From 15 to 64 years","Percentage",67.5,""
2010,2010,"SI","Slovenia","Total","From 15 to 64 years","Percentage",66.2,""
2011,2011,"SI","Slovenia","Total","From 15 to 64 years","Percentage",64.4,""
2012,2012,"SI","Slovenia","Total","From 15 to 64 years","Percentage",64.1,""
2013,2013,"SI","Slovenia","Total","From 15 to 64 years","Percentage",63.3,""
2014,2014,"SI","Slovenia","Total","From 15 to 64 years","Percentage",63.9,""
1999,1999,"ES","Spain","Total","From 15 to 64 years","Percentage",53.7,""
2000,2000,"ES","Spain","Total","From 15 to 64 years","Percentage",56.1,""
2001,2001,"ES","Spain","Total","From 15 to 64 years","Percentage",57.7,"b"
2002,2002,"ES","Spain","Total","From 15 to 64 years","Percentage",59,""
2003,2003,"ES","Spain","Total","From 15 to 64 years","Percentage",60.1,""
2004,2004,"ES","Spain","Total","From 15 to 64 years","Percentage",61.1,""
2005,2005,"ES","Spain","Total","From 15 to 64 years","Percentage",63.6,"b"
2006,2006,"ES","Spain","Total","From 15 to 64 years","Percentage",65,""
2007,2007,"ES","Spain","Total","From 15 to 64 years","Percentage",65.8,""
2008,2008,"ES","Spain","Total","From 15 to 64 years","Percentage",64.5,""
2009,2009,"ES","Spain","Total","From 15 to 64 years","Percentage",60,""
2010,2010,"ES","Spain","Total","From 15 to 64 years","Percentage",58.8,""
2011,2011,"ES","Spain","Total","From 15 to 64 years","Percentage",58,""
2012,2012,"ES","Spain","Total","From 15 to 64 years","Percentage",55.8,""
2013,2013,"ES","Spain","Total","From 15 to 64 years","Percentage",54.8,""
2014,2014,"ES","Spain","Total","From 15 to 64 years","Percentage",56,""
1999,1999,"SE","Sweden","Total","From 15 to 64 years","Percentage",70.6,""
2000,2000,"SE","Sweden","Total","From 15 to 64 years","Percentage",71.1,""
2001,2001,"SE","Sweden","Total","From 15 to 64 years","Percentage",74.4,"b"
2002,2002,"SE","Sweden","Total","From 15 to 64 years","Percentage",74,""
2003,2003,"SE","Sweden","Total","From 15 to 64 years","Percentage",73.6,""
2004,2004,"SE","Sweden","Total","From 15 to 64 years","Percentage",72.4,""
2005,2005,"SE","Sweden","Total","From 15 to 64 years","Percentage",72.5,"b"
2006,2006,"SE","Sweden","Total","From 15 to 64 years","Percentage",73.1,""
2007,2007,"SE","Sweden","Total","From 15 to 64 years","Percentage",74.2,""
2008,2008,"SE","Sweden","Total","From 15 to 64 years","Percentage",74.3,""
2009,2009,"SE","Sweden","Total","From 15 to 64 years","Percentage",72.2,""
2010,2010,"SE","Sweden","Total","From 15 to 64 years","Percentage",72.1,""
2011,2011,"SE","Sweden","Total","From 15 to 64 years","Percentage",73.6,""
2012,2012,"SE","Sweden","Total","From 15 to 64 years","Percentage",73.8,""
2013,2013,"SE","Sweden","Total","From 15 to 64 years","Percentage",74.4,""
2014,2014,"SE","Sweden","Total","From 15 to 64 years","Percentage",74.9,""
1999,1999,"CH","Switzerland","Total","From 15 to 64 years","Percentage",78.4,""
2000,2000,"CH","Switzerland","Total","From 15 to 64 years","Percentage",78.3,""
2001,2001,"CH","Switzerland","Total","From 15 to 64 years","Percentage",79.1,""
2002,2002,"CH","Switzerland","Total","From 15 to 64 years","Percentage",78.9,""
2003,2003,"CH","Switzerland","Total","From 15 to 64 years","Percentage",77.9,""
2004,2004,"CH","Switzerland","Total","From 15 to 64 years","Percentage",77.4,""
2005,2005,"CH","Switzerland","Total","From 15 to 64 years","Percentage",77.2,"b"
2006,2006,"CH","Switzerland","Total","From 15 to 64 years","Percentage",77.9,""
2007,2007,"CH","Switzerland","Total","From 15 to 64 years","Percentage",78.6,""
2008,2008,"CH","Switzerland","Total","From 15 to 64 years","Percentage",79.5,""
2009,2009,"CH","Switzerland","Total","From 15 to 64 years","Percentage",79,""
2010,2010,"CH","Switzerland","Total","From 15 to 64 years","Percentage",78.6,""
2011,2011,"CH","Switzerland","Total","From 15 to 64 years","Percentage",79.3,""
2012,2012,"CH","Switzerland","Total","From 15 to 64 years","Percentage",79.4,""
2013,2013,"CH","Switzerland","Total","From 15 to 64 years","Percentage",79.6,""
2014,2014,"CH","Switzerland","Total","From 15 to 64 years","Percentage",79.8,""
1999,1999,"TR","Turkey","Total","From 15 to 64 years","Percentage",NA,""
2000,2000,"TR","Turkey","Total","From 15 to 64 years","Percentage",NA,""
2001,2001,"TR","Turkey","Total","From 15 to 64 years","Percentage",NA,""
2002,2002,"TR","Turkey","Total","From 15 to 64 years","Percentage",NA,""
2003,2003,"TR","Turkey","Total","From 15 to 64 years","Percentage",NA,""
2004,2004,"TR","Turkey","Total","From 15 to 64 years","Percentage",NA,""
2005,2005,"TR","Turkey","Total","From 15 to 64 years","Percentage",NA,""
2006,2006,"TR","Turkey","Total","From 15 to 64 years","Percentage",44.6,""
2007,2007,"TR","Turkey","Total","From 15 to 64 years","Percentage",44.6,""
2008,2008,"TR","Turkey","Total","From 15 to 64 years","Percentage",44.9,""
2009,2009,"TR","Turkey","Total","From 15 to 64 years","Percentage",44.3,""
2010,2010,"TR","Turkey","Total","From 15 to 64 years","Percentage",46.3,""
2011,2011,"TR","Turkey","Total","From 15 to 64 years","Percentage",48.4,""
2012,2012,"TR","Turkey","Total","From 15 to 64 years","Percentage",48.9,""
2013,2013,"TR","Turkey","Total","From 15 to 64 years","Percentage",49.5,""
2014,2014,"TR","Turkey","Total","From 15 to 64 years","Percentage",49.5,"b"
1999,1999,"UK","United Kingdom","Total","From 15 to 64 years","Percentage",70.4,"b"
2000,2000,"UK","United Kingdom","Total","From 15 to 64 years","Percentage",71,""
2001,2001,"UK","United Kingdom","Total","From 15 to 64 years","Percentage",71.3,""
2002,2002,"UK","United Kingdom","Total","From 15 to 64 years","Percentage",71.2,""
2003,2003,"UK","United Kingdom","Total","From 15 to 64 years","Percentage",71.4,""
2004,2004,"UK","United Kingdom","Total","From 15 to 64 years","Percentage",71.6,"b"
2005,2005,"UK","United Kingdom","Total","From 15 to 64 years","Percentage",71.8,"b"
2006,2006,"UK","United Kingdom","Total","From 15 to 64 years","Percentage",71.6,""
2007,2007,"UK","United Kingdom","Total","From 15 to 64 years","Percentage",71.5,"b"
2008,2008,"UK","United Kingdom","Total","From 15 to 64 years","Percentage",71.5,"b"
2009,2009,"UK","United Kingdom","Total","From 15 to 64 years","Percentage",69.9,""
2010,2010,"UK","United Kingdom","Total","From 15 to 64 years","Percentage",69.4,""
2011,2011,"UK","United Kingdom","Total","From 15 to 64 years","Percentage",69.3,""
2012,2012,"UK","United Kingdom","Total","From 15 to 64 years","Percentage",69.9,""
2013,2013,"UK","United Kingdom","Total","From 15 to 64 years","Percentage",70.5,""
2014,2014,"UK","United Kingdom","Total","From 15 to 64 years","Percentage",71.9,""
