Code; Description; CodeType; Deprecated; Created; Modified; 
CB169; 3 3' 4 4' 5 5'-hexachlorobiphenyl (CB169); PARAM; False; 2006-10-23; 2006-10-23; 
CB17; 2 2' 4-trichlorobiphenyl (CB17); PARAM; False; 2006-10-23; 2006-10-23; 
CB170; 2 2' 3 3' 4 4' 5-heptachlorobiphenyl (CB170); PARAM; False; 2006-10-23; 2006-10-23; 
CB170+190; CB170 + CB190; PARAM; False; 2015-02-27; 2015-02-27; 
CB171; 2 2' 3 3' 4 4' 6-heptachlorobiphenyl (CB171); PARAM; False; 2006-10-23; 2006-10-23; 
CB171+202; CB171 + CB202; PARAM; False; 2015-03-16; 2015-03-16; 
CB172; 1 1'-Biphenyl  2 2' 3 3' 4 5 5'-heptachloro- (CB172); PARAM; False; 2013-01-25; 2013-01-25; 
CB173; 2 2' 3 3' 4 5 6-Heptachlorobiphenyl (CB173); PARAM; False; 2015-03-17; 2015-03-17; 
CB174; 1 1'-Biphenyl  2 2' 3 3' 4 5 6'-heptachloro- (CB174); PARAM; False; 2013-01-25; 2013-01-25; 
CB175; 1 1'-Biphenyl  2 2' 3 3' 4 5' 6-heptachloro- (CB175); PARAM; False; 2013-01-25; 2013-01-25; 
CB176; 1 1'-Biphenyl  2 2' 3 3' 4 6 6'-heptachloro- (CB176); PARAM; False; 2013-01-25; 2013-01-25; 
CB177; 2 2' 3 3' 4' 5 6-heptachlorobiphenyl (CB177); PARAM; False; 2006-10-23; 2006-10-23; 
CB178; 1 1'-Biphenyl  2 2' 3 3' 5 5' 6-heptachloro- (CB178); PARAM; False; 2013-01-25; 2013-01-25; 
CB179; 1 1'-Biphenyl  2 2' 3 3' 5 6 6'-heptachloro- (CB179); PARAM; False; 2015-02-02; 2015-02-02; 
CB18; 2 2' 5-trichlorobiphenyl (CB18); PARAM; False; 2006-10-23; 2006-10-23; 
CB180; 2 2' 3 4 4' 5 5'-heptachlorobiphenyl (CB180); PARAM; False; 2006-10-23; 2006-10-23; 
CB182; 2 2' 3 4 4' 5 6'-Heptachlorobiphenyl (CB182); PARAM; False; 2015-02-26; 2015-03-17; 
CB182+187; CB182 + CB187; PARAM; False; 2012-11-23; 2012-11-23; 
CB183; 2 2' 3 4 4' 5' 6-heptachlorobiphenyl (CB183); PARAM; False; 2006-10-23; 2006-10-23; 
CB185; 2 2' 3 4 5 5' 6-heptachlorobiphenyl (CB185); PARAM; False; 2006-10-23; 2006-10-23; 
CB187; 2 2' 3 4' 5 5' 6-heptachlorobiphenyl (CB187); PARAM; False; 2006-10-23; 2006-10-23; 
CB188; 2 2' 3 4' 5 6 6'-heptachlorobiphenyl (CB188); PARAM; False; 2006-10-23; 2006-10-23; 
CB189; 2 3 3' 4 4' 5 5'-heptachlorobiphenyl (CB189); PARAM; False; 2006-10-23; 2006-10-23; 
CB19; 1 1'-Biphenyl  2 2' 6-trichloro- (CB19); PARAM; False; 2013-01-28; 2013-01-28; 
CB190; 1 1'-Biphenyl  2 3 3' 4 4' 5 6-heptachloro-(CB190); PARAM; False; 2013-01-25; 2013-01-25; 
CB191; 2 3 3' 4 4' 5' 6-heptachlorobiphenyl (CB191); PARAM; False; 2006-10-23; 2006-10-23; 
CB193; 2 3 3' 4' 5 5' 6-Heptachlorobiphenyl (CB193); PARAM; False; 2006-10-23; 2007-01-19; 
CB194; 2 2' 3 3' 4 4' 5 5'-octachlorobiphenyl (CB194); PARAM; False; 2006-10-23; 2006-10-23; 
CB194+205; CB194 + CB205; PARAM; False; 2015-02-27; 2015-02-27; 
CB195; 2 2' 3 3' 4 4' 5 6-octachlorobiphenyl (CB195); PARAM; False; 2006-10-23; 2006-10-23; 
CB195+208; CB195 + CB208; PARAM; False; 2015-03-16; 2015-03-16; 
CB196; 2 2' 3 3' 4 4' 5' 6-octachlorobiphenyl (CB196); PARAM; False; 2006-10-23; 2006-10-23; 
CB196+203; CB196 + CB203; PARAM; False; 2012-11-23; 2012-11-23; 
CB197; 1 1'-Biphenyl  2 2' 3 3' 4 4' 6 6'-octachloro- (CB197); PARAM; False; 2013-01-25; 2013-01-25; 
CB198; 1 1'-Biphenyl  2 2' 3 3' 4 5 5' 6-octachloro- (CB198); PARAM; False; 2013-01-25; 2013-01-25; 
CB199; 2 2' 3 3' 4' 5 5' 6-octachlorobiphenyl (CB199); PARAM; False; 2006-10-23; 2006-10-23; 
CB20; 2' 3 3'-Trichlorobiphenyl (CB20); PARAM; False; 2015-02-27; 2015-02-27; 
CB20+33; CB20 + CB33; PARAM; False; 2015-02-27; 2015-02-27; 
CB200; 2 2' 3 3' 4 5 6 6'-octachlorobiphenyl (CB200); PARAM; False; 2006-10-23; 2006-10-23; 
CB201; 2 2' 3 3' 4 5' 6 6'-octachlorobiphenyl (CB201); PARAM; False; 2006-10-23; 2006-10-23; 
CB202; 2 2' 3 3' 5 5' 6 6'-octachlorobiphenyl (CB202); PARAM; False; 2006-10-23; 2006-10-23; 
CB203; 2 2' 3 4 4' 5 5' 6-Octachlorobiphenyl (CB203); PARAM; False; 2006-10-23; 2006-12-05; 
CB205; 2 3 3' 4 4' 5 5' 6-octachlorobiphenyl (CB205); PARAM; False; 2006-10-23; 2006-10-23; 
CB206; 2 2' 3 3' 4 4' 5 5' 6-nonachlorobiphenyl (CB206); PARAM; False; 2006-10-23; 2006-10-23; 
CB207; 1 1'-Biphenyl  2 2' 3 3' 4 4' 5 6 6'-nonachloro- (CB207); PARAM; False; 2013-01-25; 2013-01-25; 
CB208; 2 2' 3 3' 4 5 5' 6 6'-nonachlorobiphenyl (CB208); PARAM; False; 2006-10-23; 2006-10-23; 
CB209; 2 2' 3 3' 4 4' 5 5' 6 6'-decachlorobiphenyl (CB209); PARAM; False; 2006-10-23; 2006-10-23; 
CB21; 1 1'-Biphenyl  2 3 4-trichloro- (CB21); PARAM; False; 2013-01-28; 2013-01-28; 
CB21+33+53; CB21 + CB33 + CB53; PARAM; False; 2012-11-23; 2012-11-23; 
CB22; 1 1'-Biphenyl  2 3 4'-trichloro- (CB22); PARAM; False; 2013-01-28; 2015-03-17; 
CB24; 1 1'-Biphenyl  2 3 6-trichloro- (CB24); PARAM; False; 2013-01-24; 2013-01-24; 
CB24+27; CB24 + CB27; PARAM; False; 2012-11-23; 2012-11-23; 
CB25; 1 1'-Biphenyl  2 3' 4-trichloro- (CB25); PARAM; False; 2013-01-28; 2013-01-28; 
CB26; 2 3' 5-trichlorobiphenyl (CB26); PARAM; False; 2006-10-23; 2006-10-23; 
CB27; 1 1'-Biphenyl  2 3' 6-trichloro- (CB27); PARAM; False; 2013-01-24; 2013-01-24; 
CB28; 2 4 4'-trichlorobiphenyl (CB28); PARAM; False; 2006-10-23; 2006-10-23; 
CB28+31; 2 4 4'-trichlorobiphenyl (CB28) + 2 4' 5-trichlorobiphenyl (CB31); PARAM; False; 2014-04-02; 2014-04-02; 
CB29; 1 1'-Biphenyl  2 4 5-trichloro- (CB29); PARAM; False; 2013-01-28; 2013-01-28; 
CB29+54; CB29 + CB54; PARAM; False; 2015-03-16; 2015-03-16; 
CB3; 1 1'-Biphenyl  4-chloro- (CB3); PARAM; False; 2012-11-23; 2012-11-23; 
CB31; 2 4' 5-trichlorobiphenyl (CB31); PARAM; False; 2006-10-23; 2006-10-23; 
CB32; 1 1'-Biphenyl  2 4' 6-trichloro- (CB32); PARAM; False; 2013-01-28; 2013-01-28; 
CB33; 2' 3 4-trichlorobiphenyl (CB33); PARAM; False; 2006-10-23; 2006-10-23; 
CB35; 3 3' 4-trichlorobiphenyl (CB35); PARAM; False; 2006-10-23; 2006-10-23; 
CB37; 1 1'-Biphenyl  3 4 4'-trichloro- (CB37); PARAM; False; 2011-12-16; 2015-02-27; 
CB4; 1 1'-Biphenyl  2 2'-dichloro- (CB4); PARAM; False; 2013-01-24; 2013-01-24; 
CB4+10; CB4 + CB10; PARAM; False; 2012-11-23; 2012-11-23; 
CB40; 2 2' 3 3'-Tetrachlorobiphenyl (CB40); PARAM; False; 2015-03-17; 2015-03-17; 
CB41; 2 2' 3' 4'-Tetrachlorobiphenyl (CB41); PARAM; False; 2006-10-23; 2007-01-19; 
CB41+64; 2 2' 3' 4'-Tetrachlorobiphenyl (CB41) + 1 1'-Biphenyl  2 3 4' 6-tetrachloro- (CB64); PARAM; False; 2014-04-03; 2014-04-03; 
CB41+64+71; CB41 + CB64 + CB71; PARAM; False; 2015-03-16; 2015-03-16; 
CB41+67+71; CB41 + CB67 + CB71; PARAM; False; 2012-11-23; 2012-11-23; 
CB42; 1 1'-Biphenyl  2 2' 3 4'-tetrachloro- (CB42); PARAM; False; 2013-01-28; 2013-01-28; 
CB43; 1 1'-Biphenyl  2 2' 3 5-tetrachloro- (CB43); PARAM; False; 2013-01-24; 2013-01-24; 
CB43+49; CB43 + CB49; PARAM; False; 2012-11-23; 2012-11-23; 
CB44; 2 2' 3 5'-tetrachlorobiphenyl (CB44); PARAM; False; 2006-10-23; 2006-10-23; 
CB45; 1 1'-Biphenyl  2 2' 3 6-tetrachloro- (CB45); PARAM; False; 2013-01-28; 2013-01-28; 
CB46; 1 1'-Biphenyl  2 2' 3 6'-tetrachloro- (CB46); PARAM; False; 2013-01-28; 2013-01-28; 
CB47; 2 2' 4 4'-tetrachlorobiphenyl (CB47); PARAM; False; 2006-10-23; 2006-10-23; 
CB47+48; 2 2' 4 4'-tetrachlorobiphenyl (CB47) + 1 1'-Biphenyl  2 2' 4 5-tetrachloro- (CB48); PARAM; False; 2014-04-02; 2014-04-02; 
CB48; 1 1'-Biphenyl  2 2' 4 5-tetrachloro- (CB48); PARAM; False; 2013-01-28; 2013-01-28; 
CB49; 2 2' 4 5'-tetrachlorobiphenyl (CB49); PARAM; False; 2006-10-23; 2006-10-23; 
CB5+8; CB5 + CB8; PARAM; False; 2012-11-21; 2012-11-21; 
CB50; 2 4 6 2'-Tetrachlorobiphenyl; PARAM; False; 2015-03-17; 2015-03-17; 
CB51; 2 2' 4 6'-Tetrachlorobiphenyl (CB51); PARAM; False; 2006-10-23; 2007-01-19; 
CB52; 2 2' 5 5'-tetrachlorobiphenyl (CB52); PARAM; False; 2006-10-23; 2006-10-23; 
CB53; 1 1'-Biphenyl  2 2' 5 6'-tetrachloro- (CB53); PARAM; False; 2013-01-24; 2013-01-24; 
CB54; 1 1'-Biphenyl  2 2' 6 6'-tetrachloro- (CB54); PARAM; False; 2013-01-28; 2013-01-28; 
CB55; 2 3 4 3'-Tetrachlorobiphenyl (CB55); PARAM; False; 2015-03-17; 2015-03-17; 
CB56; 2 3 3' 4'-tetrachlorobiphenyl (CB56); PARAM; False; 2006-10-23; 2006-10-23; 
CB56+60; CB56 + CB60; PARAM; False; 2007-01-23; 2011-07-18; 
CB59; 2 3 6 3'-Tetrachlorobiphenyl (CB59); PARAM; False; 2015-03-17; 2015-03-17; 
CB6; 1 1'-Biphenyl  2 3'-dichloro- (CB6); PARAM; False; 2012-11-23; 2012-11-23; 
CB60; 1 1'-Biphenyl  2 3 4 4'-tetrachloro- (CB60); PARAM; False; 2013-01-24; 2013-01-24; 
CB61; 2 3 4 5-Tetrachlorobiphenyl (CB61); PARAM; False; 2006-10-23; 2007-01-19; 
CB63; 1 1'-Biphenyl  2 3 4' 5-tetrachloro- (CB63); PARAM; False; 2013-01-28; 2013-01-28; 
CB64; 1 1'-Biphenyl  2 3 4' 6-tetrachloro- (CB64); PARAM; False; 2014-04-03; 2014-04-03; 
CB64+71; 1 1'-Biphenyl  2 3 4' 6-tetrachloro- (CB64) + 1 1'-Biphenyl  2 3' 4' 6-tetrachloro- (CB71); PARAM; False; 2014-04-03; 2014-04-03; 
CB65; 1 1'-Biphenyl  2 3 5 6-tetrachloro- (CB65); PARAM; False; 2013-01-28; 2013-01-28; 
CB66; 2 3' 4 4'-tetrachlorobiphenyl (CB66); PARAM; False; 2006-10-23; 2006-10-23; 
CB66+95; CB66 + CB95; PARAM; False; 2011-07-18; 2011-07-18; 
CB67; 1 1'-Biphenyl  2 3' 4 5-tetrachloro- (CB67); PARAM; False; 2013-01-24; 2013-01-24; 
CB7; 1 1'-Biphenyl  2 4-dichloro- (CB7); PARAM; False; 2012-11-23; 2012-11-23; 
CB7+9; CB7 + CB9; PARAM; False; 2015-03-17; 2015-03-17; 
CB70; 2 3' 4' 5-tetrachlorobiphenyl (CB70); PARAM; False; 2006-10-23; 2006-10-23; 
CB70+76; CB70 + CB76; PARAM; False; 2012-11-22; 2012-11-22; 
CB70+76+98; CB70 + CB76 + CB98; PARAM; False; 2015-03-16; 2015-03-16; 
CB71; 1 1'-Biphenyl  2 3' 4' 6-tetrachloro- (CB71); PARAM; False; 2013-01-24; 2013-01-24; 
CB72; 2 3' 5 5'-tetrachlorobiphenyl (CB72); PARAM; False; 2006-10-23; 2006-10-23; 
CB74; 2 4 4' 5-tetrachlorobiphenyl (CB74); PARAM; False; 2006-10-23; 2006-10-23; 
CB76; 1 1'-Biphenyl  2 3' 4' 5'-tetrachloro- (CB76); PARAM; False; 2013-01-24; 2013-01-24; 
CB77; 3 3' 4 4'-tetrachlorobiphenyl (CB77); PARAM; False; 2006-10-23; 2006-10-23; 
CB77+110; CB77 + CB110; PARAM; False; 2012-11-23; 2012-11-23; 
CB81; 3 4 4' 5-tetrachlorobiphenyl (CB81); PARAM; False; 2006-10-23; 2006-10-23; 
CB81+87; CB81 + CB87; PARAM; False; 2015-03-17; 2015-03-17; 
CB82; 2 2' 3 3' 4'-pentachlorobiphenyl (CB82); PARAM; False; 2006-10-23; 2006-10-23; 
CB83; 1 1'-Biphenyl  2 2' 3 3' 5-pentachloro- (CB83); PARAM; False; 2013-01-28; 2013-01-28; 
CB84; 2 2' 3 3' 6-pentachlorobiphenyl (CB84); PARAM; False; 2006-10-23; 2006-10-23; 
CB84+101; 2 2' 3 3' 6-pentachlorobiphenyl (CB84) + 2 2' 4 5 5'-pentachlorobiphenyl (CB101); PARAM; False; 2014-04-02; 2014-04-02; 
CB85; 2 2' 3 4 4'-pentachlorobiphenyl (CB85); PARAM; False; 2006-10-23; 2006-10-23; 
CB87; 2 2' 3 4 5'-pentachlorobiphenyl (CB87); PARAM; False; 2006-10-23; 2006-10-23; 
CB89; 1 1'-Biphenyl  2 2' 3 4 6'-pentachloro- (CB89); PARAM; False; 2013-01-28; 2013-01-28; 
CB9; 2 5-Dichlorobiphenyl (CB9); PARAM; False; 2015-03-17; 2015-03-17; 
CB90; 1 1'-Biphenyl  2 2' 3 4' 5-pentachloro- (CB90); PARAM; False; 2014-04-03; 2014-04-03; 
CB90+101; 1 1'-Biphenyl  2 2' 3 4' 5-pentachloro- (CB90) + 2 2' 4 5 5'-pentachlorobiphenyl (CB101); PARAM; False; 2014-04-03; 2014-04-03; 
CB91; 1 1'-Biphenyl  2 2' 3 4' 6-pentachloro- (CB91); PARAM; False; 2013-01-28; 2013-01-28; 
CB92; 1 1'-Biphenyl  2 2' 3 5 5'-pentachloro- (CB92); PARAM; False; 2013-01-28; 2013-01-28; 
CB95; 2 2' 3 5' 6-pentachlorobiphenyl (CB95); PARAM; False; 2006-10-23; 2006-10-23; 
CB97; 2 2' 3' 4 5-pentachlorobiphenyl (CB97); PARAM; False; 2006-10-23; 2006-10-23; 
CB98; 2 3 2' 4' 6'-Pentachlorobiphenyl (CB98); PARAM; False; 2015-03-16; 2015-03-16; 
CB99; 2 2' 4 4' 5-pentachlorobiphenyl (CB99); PARAM; False; 2006-10-23; 2006-10-23; 
CCDAN; cis-chlordane (alpha-chlordane); PARAM; False; 2006-10-23; 2006-10-23; 
CCL4; carbon tetrachloride; PARAM; False; 2006-10-23; 2006-10-23; 
CD; cadmium; PARAM; False; 2006-10-23; 2006-10-23; 
CDCEE12; cis-1 2-Dichloroethene; PARAM; False; 2012-07-01; 2012-07-01; 
CDD1N; 1 2 3 7 8-pentachlorodibenzo-p-dioxin; PARAM; False; 2006-10-23; 2006-10-23; 
CDD4X; 1 2 3 4 7 8-hexachlorodibenzo-p-dioxin; PARAM; False; 2006-10-23; 2006-10-23; 
CDD6P; 1 2 3 4 6 7 8-heptachlorodibenzo-p-dioxin; PARAM; False; 2006-10-23; 2006-10-23; 
CDD6X; 1 2 3 6 7 8-hexachlorodibenzo-p-dioxin; PARAM; False; 2006-10-23; 2006-10-23; 
CDD9X; 1 2 3 7 8 9-hexachlorodibenzo-p-dioxin; PARAM; False; 2006-10-23; 2006-10-23; 
CDDO; 1 2 3 4 6 7 8 9-octachlorodibenzo-p-dioxin; PARAM; False; 2006-10-23; 2006-10-23; 
CDDSN; sum of pentachloro-dibenzo dioxin; PARAM; False; 2006-10-23; 2006-10-23; 
CDDSP; sum of heptachloro-dibenzo dioxin; PARAM; False; 2006-10-23; 2006-10-23; 
CDDST; sum of tetrachloro-dibenzo dioxin; PARAM; False; 2006-10-23; 2006-10-23; 
CDDSX; sum of hexachloro-dibenzo dioxin; PARAM; False; 2006-10-23; 2006-10-23; 
CDF2N; 2 3 4 7 8-pentachlorodibenzofuran; PARAM; False; 2006-10-23; 2006-10-23; 
CDF2T; 2 3 7 8-tetrachloro-dibenzofuran; PARAM; False; 2006-10-23; 2006-10-23; 
CDF4X; 2 3 4 6 7 8-hexachlorodibenzofuran; PARAM; False; 2006-10-23; 2006-10-23; 
CDF6P; 1 2 3 4 6 7 8-heptachlorodibenzofuran; PARAM; False; 2006-10-23; 2006-10-23; 
CDF6X; 1 2 3 6 7 8-hexachlorodibenzofuran; PARAM; False; 2006-10-23; 2006-10-23; 
CDF9P; 1 2 3 4 7 8 9-heptachlorodibenzofuran; PARAM; False; 2006-10-23; 2006-10-23; 
CDF9X; 1 2 3 7 8 9-hexachlorodibenzofuran; PARAM; False; 2006-10-23; 2006-10-23; 
CDFDN; 1 2 3 7 8/1 2 3 4 8-pentachloro-dibenzofuran; PARAM; False; 2006-10-23; 2006-10-23; 
CDFDX; 1 2 3 4 7 8/1 2 3 4 7 9-hexachloro-dibenzofuran; PARAM; False; 2006-10-23; 2006-10-23; 
CDFO; octachloro-dibenzofuran (group); PARAM; False; 2006-10-23; 2016-04-08; 
CDFP1; 1 2 3 4 8-pentachlorodibenzofuran; PARAM; False; 2006-10-23; 2006-10-23; 
CDFP2; 1 2 3 7 8-pentachlorodibenzofuran; PARAM; False; 2006-10-23; 2006-10-23; 
CDFSN; sum of pentachloro-dibenzofuran; PARAM; False; 2006-10-23; 2006-10-23; 
CDFSP; sum of heptachloro-dibenzofuran; PARAM; False; 2006-10-23; 2006-10-23; 
CDFST; sum of tetrachloro-dibenzofuran; PARAM; False; 2006-10-23; 2006-10-23; 
CDFSX; sum of hexachloro-dibenzofuran; PARAM; False; 2006-10-23; 2006-10-23; 
CDFX1; 1 2 3 4 7 8-hexachloro-dibenzofuran; PARAM; False; 2006-10-23; 2006-10-23; 
CDFX2; 1 2 3 4 7 9-hexachloro-dibenzofuran; PARAM; False; 2006-10-23; 2006-10-23; 
CDOM-400; Colored dissolved organic material -absorbance at 400 nm; PARAM; False; 2006-10-23; 2006-10-23; 
CDOM-750; Colored dissolved organic material -absorbance at 750 nm; PARAM; False; 2006-10-23; 2006-10-23; 
CE; cerium; PARAM; False; 2006-10-23; 2006-10-23; 
CEE1; Chloroethene; PARAM; False; 2012-08-01; 2012-08-01; 
CHCL3; chloroform; PARAM; False; 2006-10-23; 2006-10-23; 
CHLAMY; Chlamydia sp.; PARAM; False; 2012-03-05; 2012-03-05; 
CHLDZ; Chloridazon; PARAM; False; 2012-08-13; 2012-08-13; 
CHLRA; chlorinity (cf. PSALX). Titration by routine Mohr-Knudsen method (chlorinity ppt). Measurement from water sample (temperature measurement by thermometer assumed).; PARAM; False; 2006-10-23; 2006-10-23; 
CHLRB; chlorinity (cf. PSALX). Titration by special precision method (chlorinity ppt). Measurement from water sample (temperature measurement by thermometer assumed).; PARAM; False; 2006-10-23; 2006-10-23; 
CHOLA; cholangioma; PARAM; False; 2006-10-23; 2008-06-11; 
CHOLC; cholangiocarcinoma; PARAM; False; 2006-10-23; 2008-06-11; 
CHR; chrysene; PARAM; False; 2006-10-23; 2006-10-23; 
CHR1OH; 1-Hydroxychrysene; PARAM; False; 2009-12-02; 2009-12-02; 
CHR1OH-QC; 1-Hydroxychrysene normalised (QC parameter); PARAM; False; 2015-06-19; 2015-06-19; 
CHRM1; 1-Methylchrysene; PARAM; False; 2013-05-14; 2013-05-14; 
CHRM2; Chrysene  2-methyl-; PARAM; False; 2006-10-23; 2006-10-23; 
CHRM5; Chrysene  5-methyl-; PARAM; False; 2006-10-23; 2006-10-23; 
CHRTR; chrysene + triphenylene; PARAM; False; 2006-10-23; 2006-10-23; 
CILIOP; Ciliophora sp.; PARAM; False; 2012-03-05; 2012-03-05; 
CINOR; inorganic carbon; PARAM; False; 2006-10-23; 2006-10-23; 
CL; chlorine (deprecated); PARAM; True; 2006-10-23; 2015-03-05; 
CL-; Chloride ion; PARAM; False; 2012-10-01; 2012-10-01; 
CL2; CBs (2 chlorine atoms); PARAM; False; 2006-10-23; 2006-10-23; 
CL3; CBs (3 chlorine atoms); PARAM; False; 2006-10-23; 2006-10-23; 
CL4; CBs (4 chlorine atoms); PARAM; False; 2006-10-23; 2006-10-23; 
CL5; CBs (5 chlorine atoms); PARAM; False; 2006-10-23; 2006-10-23; 
CL6; CBs (6 chlorine atoms); PARAM; False; 2006-10-23; 2006-10-23; 
CL7; CBs (7 chlorine atoms); PARAM; False; 2006-10-23; 2006-10-23; 
CL8; CBs (8 chlorine atoms); PARAM; False; 2006-10-23; 2006-10-23; 
CL9; CBs (9 chlorine atoms); PARAM; False; 2006-10-23; 2006-10-23; 
CLAV ELL; Clavella sp.; PARAM; False; 2006-10-23; 2006-10-23; 
CLCFC; clear cell foci; PARAM; False; 2006-10-23; 2008-06-11; 
CLOF; Clofibric acid; PARAM; False; 2007-07-31; 2007-07-31; 
CMNB123; Benzene  1-chloro-2-methyl-3-nitro-; PARAM; False; 2006-10-23; 2006-10-23; 
CMNB124; Benzene  1-chloro-2-methyl-4-nitro-; PARAM; False; 2006-10-23; 2006-10-23; 
CMNB142; Benzene  1-chloro-4-methyl-2-nitro-; PARAM; False; 2006-10-23; 2006-10-23; 
CMNB214; Benzene  2-chloro-1-methyl-4-nitro-; PARAM; False; 2006-10-23; 2006-10-23; 
CMNB412; Benzene  4-chloro-1-methyl-2-nitro-; PARAM; False; 2006-10-23; 2006-10-23; 
CMP25; 2-Chloro-5-methylphenol; PARAM; False; 2006-10-23; 2006-10-23; 
CMP26; 2-Chloro-6-methylphenol; PARAM; False; 2006-10-23; 2006-10-23; 
CMP42; 4-Chloro-2-methylphenol; PARAM; False; 2006-10-23; 2006-10-23; 
CMP43; 4-Chloro-3-methylphenol; PARAM; False; 2006-10-23; 2006-10-23; 
CMT-QC-NR; COMET assay - number of cells screened; PARAM; False; 2013-05-03; 2013-05-03; 
CN-; Cyanide ion; PARAM; False; 2012-08-01; 2012-08-01; 
CNB2; 2-Chloronitrobenzene; PARAM; False; 2007-07-31; 2007-07-31; 
CNB3; 3-Nitrochlorobenzene; PARAM; False; 2007-07-31; 2007-07-31; 
CNB4; 4-Nitrochlorobenzene; PARAM; False; 2007-07-31; 2007-07-31; 
CNDC; electrical conductivity; PARAM; False; 2006-10-23; 2006-10-23; 
CNONC; cis-nonachlor; PARAM; False; 2006-10-23; 2006-10-23; 
CNTOT; Cyanides (as total CN); PARAM; False; 2012-08-01; 2012-08-01; 
CO; cobalt; PARAM; False; 2006-10-23; 2006-10-23; 
CO60; cobalt-60; PARAM; False; 2006-10-23; 2006-10-23; 
CODCr; Chemical oxygen demand (dicromate method); PARAM; False; 2012-10-01; 2012-10-01; 
CODMn; Chemical oxygen demand (potassium permanganate method); PARAM; False; 2012-10-01; 2012-10-01; 
COR; coronene; PARAM; False; 2006-10-23; 2006-10-23; 
CORG; organic carbon; PARAM; False; 2006-10-23; 2006-10-23; 
CPHL; chlorophyll-a; PARAM; False; 2006-10-23; 2006-10-23; 
CPHLC; chlorophyll-a (SCOR/UNESCO method); PARAM; False; 2006-10-23; 2006-10-23; 
CPHLL; chlorophyll-a(Lorenz method); PARAM; False; 2006-10-23; 2006-10-23; 
CPM; cis-permethrin; PARAM; False; 2007-07-31; 2007-07-31; 
CPTN; Captan; PARAM; False; 2012-07-24; 2012-07-24; 
CR; chromium; PARAM; False; 2006-10-23; 2006-10-23; 
CR3+; Chromium ion(3+); PARAM; False; 2012-08-01; 2012-08-01; 
CRYP COT; Cryptocotyle sp.; PARAM; False; 2006-10-23; 2006-10-23; 
CS; cesium; PARAM; False; 2006-10-23; 2006-10-23; 
CS134; cesium-134; PARAM; False; 2006-10-23; 2006-10-23; 
CS137; cesium-137; PARAM; False; 2006-10-23; 2006-10-23; 
CTD; Connective-to-diverticular ratio; PARAM; False; 2012-03-09; 2012-03-09; 
CTOT; total carbon; PARAM; False; 2006-10-23; 2006-10-23; 
CU; copper; PARAM; False; 2006-10-23; 2006-10-23; 
CVP; Chlorfenvinphos; PARAM; False; 2007-06-27; 2007-06-28; 
CYAZN; Cyanazine; PARAM; False; 2012-06-30; 2012-06-30; 
CYFOS; Chlorpyrifos; PARAM; False; 2007-06-28; 2007-06-28; 
CYFOSM; Chlorpyrifos-methyl; PARAM; False; 2012-07-01; 2012-07-01; 
CYPM; Cypermethrin; PARAM; False; 2016-04-26; 2016-04-26; 
DBA3A; dibenz[a c/a h]anthracene; PARAM; False; 2006-10-23; 2006-10-23; 
DBAC; 2-(2-Butoxyethoxy)ethyl acetate; PARAM; False; 2012-07-17; 2012-07-17; 
DBACA; dibenz[a c]anthracene; PARAM; False; 2006-10-23; 2006-10-23; 
DBAHA; dibenz[a h]anthracene; PARAM; False; 2006-10-23; 2006-10-23; 
DBAJA; dibenz[a j]anthracene; PARAM; False; 2006-10-23; 2006-10-23; 
DBDE; di-bromodiphenyl ether (sum of congeners); PARAM; False; 2006-10-23; 2006-10-23; 
DBE12; Ethane  1 2-dibromo-; PARAM; False; 2012-07-01; 2012-07-01; 
DBN; 2 6-Dichlorobenzonitrile; PARAM; False; 2006-10-23; 2006-10-23; 
DBP; dibenzopyrene; PARAM; False; 2006-10-23; 2006-10-23; 
DBPAE; dibenzo[a e]pyrene; PARAM; False; 2006-10-23; 2006-10-23; 
DBPAH; Dibenzo[a h]pyrene; PARAM; False; 2006-10-23; 2006-10-23; 
DBPAI; Dibenzo[a i]pyrene; PARAM; False; 2006-10-23; 2006-10-23; 
DBPAL; Dibenzo[a l]pyrene; PARAM; False; 2006-10-23; 2006-10-23; 
DBPH; Phthalic acid  dibutyl ester; PARAM; False; 2006-10-23; 2006-10-23; 
DBSN+; dibutyltin ion; PARAM; False; 2006-10-23; 2006-10-23; 
DBT; dibenzothiophene; PARAM; False; 2006-10-23; 2006-10-23; 
DBTC1; C1-dibenzothiophenes; PARAM; False; 2006-10-23; 2006-10-23; 
DBTC2; C2-dibenzothiophenes; PARAM; False; 2006-10-23; 2006-10-23; 
DBTC3; C3-dibenzothiophenes; PARAM; False; 2006-10-23; 2006-10-23; 
DBTDM46; 4 6-Dimethyldibenzothiophene; PARAM; False; 2013-05-14; 2013-05-14; 
DBTIN; dibutyltin (DBT) - expressed as Sn-atom; PARAM; False; 2006-10-23; 2008-11-28; 
DBTM2; 2-Methyldibenzothiophene; PARAM; False; 2013-05-14; 2013-05-14; 
DBTTM247; Dibenzothiophene  2 4 7-trimethyl-; PARAM; False; 2013-05-14; 2013-05-14; 
DCB12; 1 2-Dichlorobenzene; PARAM; False; 2006-10-23; 2006-10-23; 
DCB13; 1 3-Dichlorobenzene; PARAM; False; 2006-10-23; 2006-10-23; 
DCB14; 1 4-Dichlorobenzene; PARAM; False; 2006-10-23; 2006-10-23; 
